game_id,name,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_raw,categories_raw,thematics_list,categories_list,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
36,Runebound. Третья редакция,2,4,3.0,120,180,150.0,14,0,7.0,"Хардкорные игры, Игры по вселенным, Runebound","Для двоих, Для компании, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным', 'Runebound']","['Для двоих', 'Для компании', 'Приключенческие игры']",3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
37,Набор игр,2,5,3.5,30,45,37.5,7,0,3.5,"Стратегические игры, Семейные игры, Мачи, Коро, Наборы игр","Для двоих, Для компании, Дуэльные игры, Карточные игры, Экономические игры","['Стратегические игры', 'Семейные игры', 'Мачи', 'Коро', 'Наборы игр']","['Для двоих', 'Для компании', 'Дуэльные игры', 'Карточные игры', 'Экономические игры']",5,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
38,Fallout: Атомные узы,1,4,2.5,120,180,150.0,13,0,6.5,Fallout,,['Fallout'],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Изнанка,1,4,2.5,60,120,90.0,10,0,5.0,"Интервью с создателями игры, Изнанка",,"['Интервью с создателями игры', 'Изнанка']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Королевская ставка,2,5,3.5,30,40,35.0,12,0,6.0,"Хардкорные игры, Стратегические игры","Для двоих, Для компании, Карточные игры","['Хардкорные игры', 'Стратегические игры']","['Для двоих', 'Для компании', 'Карточные игры']",2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,Предназначение,1,3,2.0,120,150,135.0,13,0,6.5,"Предназначение, Игры по вселенным","Для одного, Для двоих, Игры с мобильным приложением, Приключенческие игры","['Предназначение', 'Игры по вселенным']","['Для одного', 'Для двоих', 'Игры с мобильным приложением', 'Приключенческие игры']",2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,Ктулху: Смерть может умереть. Страх неведомого,1,5,3.0,90,120,105.0,16,0,8.0,"Ктулху:, Смерть может умереть, Игры по вселенным","Тематические, Вселенная, Лавкрафта, Для компании, Кооперативные игры","['Ктулху:', 'Смерть может умереть', 'Игры по вселенным']","['Тематические', 'Вселенная', 'Лавкрафта', 'Для компании', 'Кооперативные игры']",3,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Oathsworn: Верные клятве. Тайны Темнолесья,1,4,2.5,30,120,75.0,18,0,9.0,"Oathsworn:, Верные клятве, Хардкорные игры, Игры по вселенным","Для двоих, Для компании, Кооперативные игры, Приключенческие игры","['Oathsworn:', 'Верные клятве', 'Хардкорные игры', 'Игры по вселенным']","['Для двоих', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']",4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44,Хутан,1,4,2.5,30,45,37.5,11,0,5.5,Семейные игры,"Тематические, Для одного",['Семейные игры'],"['Тематические', 'Для одного']",1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Место преступления,1,4,2.5,60,90,75.0,12,0,6.0,"Игры по вселенным, Место преступления","Фанату детективов, Тематические, Детективные игры, Для компании, Загадки и расследования, Игры с мобильным приложением, Игры, чтобы занять детей, Понравится подростку, Кооперативные игры, Логические игры","['Игры по вселенным', 'Место преступления']","['Фанату детективов', 'Тематические', 'Детективные игры', 'Для компании', 'Загадки и расследования', 'Игры с мобильным приложением', 'Игры', 'чтобы занять детей', 'Понравится подростку', 'Кооперативные игры', 'Логические игры']",2,11,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
46,Подземелья и пёсики,2,4,3.0,30,30,30.0,8,0,4.0,"Интервью с создателями игры, Подземелья и пёсики",,"['Интервью с создателями игры', 'Подземелья и пёсики']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Descent: Сказания тьмы,1,4,2.5,180,240,210.0,13,0,6.5,"Хардкорные игры, Игры по вселенным, Descent","Игры с мобильным приложением, Кооперативные игры, Приключенческие игры","['Хардкорные игры', 'Игры по вселенным', 'Descent']","['Игры с мобильным приложением', 'Кооперативные игры', 'Приключенческие игры']",3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
48,Small World: Маленький мир,2,5,3.5,40,80,60.0,8,0,4.0,"Стратегические игры, Семейные игры, Small, World (, Маленький, Мир)","Что подарить на 8 марта?, Для компании, Для коллег, Продвинутые семейные игры","['Стратегические игры', 'Семейные игры', 'Small', 'World (', 'Маленький', 'Мир)']","['Что подарить на 8 марта?', 'Для компании', 'Для коллег', 'Продвинутые семейные игры']",6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
49,Эверделл. Базовое издание,1,4,2.5,40,80,60.0,10,0,5.0,"Стратегические игры, Семейные игры, Эверделл","Тематические, Для одного, Для двоих, Экономические игры","['Стратегические игры', 'Семейные игры', 'Эверделл']","['Тематические', 'Для одного', 'Для двоих', 'Экономические игры']",3,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
50,Бункер,4,16,10.0,30,60,45.0,18,0,9.0,"Бункер, Вечериночные игры","Тематические, Для взрослых 18+, Для компании, Карточные игры","['Бункер', 'Вечериночные игры']","['Тематические', 'Для взрослых 18+', 'Для компании', 'Карточные игры']",2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Ужас Аркхэма. Карточная игра,1,2,1.5,60,120,90.0,18,0,9.0,"Ужас, Аркхэма., Карточная игра, Живые карточные игры (, L, C, G), Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для одного, Для двоих, Загадки и расследования","['Ужас', 'Аркхэма.', 'Карточная игра', 'Живые карточные игры (', 'L', 'C', 'G)', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для одного', 'Для двоих', 'Загадки и расследования']",13,7,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
52,Комитет,2,4,3.0,60,120,90.0,12,0,6.0,"Комитет, Хардкорные игры, Стратегические игры","Детективные игры, Для двоих, Кооперативные игры","['Комитет', 'Хардкорные игры', 'Стратегические игры']","['Детективные игры', 'Для двоих', 'Кооперативные игры']",3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
